time	gasCreaMean(2)	gasCreaStd(3)	gasTotalMean(4)	gasTotalStd(5)	creaMean(6)	creaStd(7)	totKitty(8)	avgKitty(9)	minKitty(10)	maxKitty(11)	stdKitty(12)
4500	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
4560	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
4620	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
4680	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
4740	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
4800	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
4860	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
4920	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
4980	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
5040	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
5100	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
5160	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
5220	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
5280	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
5340	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
5400	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
5460	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
5520	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
5580	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
5640	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
5700	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
5760	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
5820	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
5880	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
5940	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
6000	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
6060	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
6120	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
6180	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
6240	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
6300	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
6360	0.0	0.0	0.0	0.0	1.003	0.9944802662697675	1003	1.003	0	5	0.9944802662697675
