time	gasCreateKittyMean(2)	gasCreateKittyStd(3)	gasTransferKittyMean(4)	gasTransferKittyStd(5)	gasTotalMean(6)	gasTotalStd(7)	transferKittyMean(8)	transferKittyStd(9)	createKittyMean(10)	createKittyStd(11)	totKitty(12)	avgKitty(13)	minKitty(14)	maxKitty(15)	stdKitty(16)
252600	0.0	0.0	96.0	64.0	96.0	64.0	17593.8	171.08524191174408	0.8	0.7483314773547883	87973	17594.6	17341	17812	170.72387062153905
252660	0.0	0.0	134.4	65.26744977398765	134.4	65.26744977398765	17598.0	169.80341574891833	0.8	0.7483314773547883	87994	17598.8	17348	17813	169.43600561864056
252720	0.0	0.0	108.8	32.633724886993825	108.8	32.633724886993825	17601.4	169.8535840069323	0.8	0.7483314773547883	88011	17602.2	17350	17816	169.48793467382865
252780	0.0	0.0	108.8	47.893214550706446	108.8	47.893214550706446	17604.8	168.87202254962187	0.8	0.7483314773547883	88028	17605.6	17354	17819	168.5106524822689
252840	0.0	0.0	115.2	47.893214550706446	115.2	47.893214550706446	17608.4	168.6162506996286	0.8	0.7483314773547883	88046	17609.2	17358	17824	168.25979912028896
252900	0.0	0.0	128.0	20.23857702507763	128.0	20.23857702507763	17612.4	168.2457726066245	0.8	0.7483314773547883	88066	17613.2	17363	17828	167.88972571304058
252960	0.0	0.0	166.4	31.35346870762468	166.4	31.35346870762468	17617.6	167.57995106813942	0.8	0.7483314773547883	88092	17618.4	17370	17833	167.22392173370412
253020	0.0	0.0	147.2	43.406911892001716	147.2	43.406911892001716	17622.2	166.517746801955	0.8	0.7483314773547883	88115	17623.0	17376	17835	166.15896003526262
253080	0.0	0.0	153.6	62.05030217492901	153.6	62.05030217492901	17627.0	165.98433661041634	0.8	0.7483314773547883	88139	17627.8	17384	17840	165.62173770372053
253140	0.0	0.0	153.6	71.26738384422427	153.6	71.26738384422427	17631.8	167.61909199133612	0.8	0.7483314773547883	88163	17632.6	17387	17849	167.2609936596097
253200	0.0	0.0	140.8	43.406911892001716	140.8	43.406911892001716	17636.2	168.4712438370418	0.8	0.7483314773547883	88185	17637.0	17391	17854	168.10948813199093
253260	0.0	0.0	115.2	38.4	115.2	38.4	17639.8	167.30140465638655	0.8	0.7483314773547883	88203	17640.6	17396	17856	166.94022882457062
253320	0.0	0.0	185.6	65.26744977398765	185.6	65.26744977398765	17645.6	167.0563976625858	0.8	0.7483314773547883	88232	17646.4	17400	17859	166.6944510174229
253380	0.0	0.0	147.2	32.63372488699382	147.2	32.63372488699382	17650.2	167.56419665310366	0.8	0.7483314773547883	88255	17651.0	17405	17865	167.20167463276198
253440	0.0	0.0	121.6	55.05488170907281	121.6	55.05488170907281	17654.0	167.06765096810332	0.8	0.7483314773547883	88274	17654.8	17411	17869	166.70500892294748
253500	0.0	0.0	102.4	51.2	102.4	51.2	17657.2	168.16943836500138	0.8	0.7483314773547883	88290	17658.0	17412	17874	167.8082238747553
253560	0.0	0.0	134.4	42.45279731654912	134.4	42.45279731654912	17661.4	167.92927082554726	0.8	0.7483314773547883	88311	17662.2	17416	17876	167.56419665310366
253620	0.0	0.0	89.6	47.03020306143702	89.6	47.03020306143702	17664.2	167.72763636324217	0.8	0.7483314773547883	88325	17665.0	17421	17880	167.36188335460378
253680	0.0	0.0	108.8	38.400000000000006	108.8	38.400000000000006	17667.6	168.22912946336018	0.8	0.7483314773547883	88342	17668.4	17425	17884	167.8601799117349
253740	0.0	0.0	134.4	23.946607275353223	134.4	23.946607275353223	17671.8	167.51525303685037	0.8	0.7483314773547883	88363	17672.6	17430	17887	167.14616358145946
253800	0.0	0.0	172.8	59.3511583711725	172.8	59.3511583711725	17677.2	167.60835301380416	0.8	0.7483314773547883	88390	17678.0	17433	17891	167.24114326325326
253860	0.0	0.0	96.0	20.23857702507763	96.0	20.23857702507763	17680.2	167.31096796086024	0.8	0.7483314773547883	88405	17681.0	17436	17894	166.94550008910093
253920	0.0	0.0	198.4	68.33330081300039	198.4	68.33330081300039	17686.4	167.21554951618586	0.8	0.7483314773547883	88436	17687.2	17441	17899	166.84891369139925
253980	0.0	0.0	160.0	60.71573107523288	160.0	60.71573107523288	17691.4	167.30642545939472	0.8	0.7483314773547883	88461	17692.2	17444	17904	166.94478129010201
254040	0.0	0.0	121.6	74.08535617785745	121.6	74.08535617785745	17695.2	168.97857852402475	0.8	0.7483314773547883	88480	17696.0	17446	17910	168.61435288847744
254100	0.0	0.0	128.0	40.47715405015526	128.0	40.47715405015526	17699.2	168.7772496517229	0.8	0.7483314773547883	88500	17700.0	17451	17913	168.4102134669985
254160	0.0	0.0	140.8	47.893214550706446	140.8	47.893214550706446	17703.6	169.75700280106267	0.8	0.7483314773547883	88522	17704.4	17455	17920	169.3913811266677
254220	0.0	0.0	160.0	64.0	160.0	64.0	17708.6	168.2921269697427	0.8	0.7483314773547883	88547	17709.4	17464	17924	167.92450684757125
254280	0.0	0.0	121.6	68.33330081300039	121.6	68.33330081300039	17712.4	167.681364498265	0.8	0.7483314773547883	88566	17713.2	17469	17926	167.31216333548497
254340	0.0	0.0	96.0	70.10848736066126	96.0	70.10848736066126	17715.4	167.69567674809034	0.8	0.7483314773547883	88581	17716.2	17470	17930	167.33248339757586
254400	0.0	0.0	108.8	32.633724886993825	108.8	32.633724886993825	17718.8	167.7824782270187	0.8	0.7483314773547883	88598	17719.6	17474	17935	167.4211456178699
254460	0.0	0.0	134.4	74.08535617785745	134.4	74.08535617785745	17723.0	168.88694443325096	0.8	0.7483314773547883	88619	17723.8	17479	17943	168.5258437154373
254520	0.0	0.0	140.8	25.599999999999998	140.8	25.599999999999998	17727.4	168.7988151617185	0.8	0.7483314773547883	88641	17728.2	17484	17948	168.4380004630784
254580	0.0	0.0	89.6	68.33330081300039	89.6	68.33330081300039	17730.2	169.4478090740627	0.8	0.7483314773547883	88655	17731.0	17485	17950	169.0834113684722
254640	0.0	0.0	185.6	65.26744977398765	185.6	65.26744977398765	17736.0	170.84847087404674	0.8	0.7483314773547883	88684	17736.8	17488	17957	170.4833129664015
254700	0.0	0.0	102.4	55.05488170907281	102.4	55.05488170907281	17739.2	169.753232664359	0.8	0.7483314773547883	88700	17740.0	17494	17958	169.38358834314496
254760	0.0	0.0	89.6	55.05488170907281	89.6	55.05488170907281	17742.0	168.65230505391855	0.8	0.7483314773547883	88714	17742.8	17499	17961	168.28594712571814
254820	0.0	0.0	96.0	35.05424368033063	96.0	35.05424368033063	17745.0	168.04761230080004	0.8	0.7483314773547883	88729	17745.8	17503	17964	167.68351141361515
254880	0.0	0.0	115.2	32.633724886993825	115.2	32.633724886993825	17748.6	168.16254041848916	0.8	0.7483314773547883	88747	17749.4	17506	17968	167.79940405138512
254940	0.0	0.0	160.0	72.97122720634484	160.0	72.97122720634484	17753.6	169.52002831524067	0.8	0.7483314773547883	88772	17754.4	17509	17974	169.1538944275301
255000	0.0	0.0	128.0	40.47715405015526	128.0	40.47715405015526	17757.6	169.03088475187013	0.8	0.7483314773547883	88792	17758.4	17513	17978	168.6684321383228
255060	0.0	0.0	102.4	31.35346870762468	102.4	31.35346870762468	17760.8	169.21394741569028	0.8	0.7483314773547883	88808	17761.6	17517	17982	168.85094018097737
255120	0.0	0.0	115.2	51.99384578967015	115.2	51.99384578967015	17764.4	168.012618573725	0.8	0.7483314773547883	88826	17765.2	17523	17985	167.65011184010586
255180	0.0	0.0	185.6	47.03020306143702	185.6	47.03020306143702	17770.2	167.1399413665088	0.8	0.7483314773547883	88855	17771.0	17529	17988	166.7752979310785
255240	0.0	0.0	108.8	25.6	108.8	25.6	17773.6	167.39964157667723	0.8	0.7483314773547883	88872	17774.4	17533	17992	167.0336493045638
255300	0.0	0.0	140.8	51.99384578967015	140.8	51.99384578967015	17778.0	167.6615638719859	0.8	0.7483314773547883	88894	17778.8	17535	17995	167.2954273134804
255360	0.0	0.0	160.0	67.1237662828897	160.0	67.1237662828897	17783.0	167.6555993696602	0.8	0.7483314773547883	88919	17783.8	17542	18002	167.2894497570005
255420	0.0	0.0	172.8	59.3511583711725	172.8	59.3511583711725	17788.4	167.6348412472777	0.8	0.7483314773547883	88946	17789.2	17545	18006	167.2703201407829
