time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasTotalMean(6)	gasTotalStd(7)	createProposalMean(8)	createProposalStd(9)	createUserMean(10)	createUserStd(11)	totProposal(12)	avgProposal(13)	minProposal(14)	maxProposal(15)	stdProposal(16)	totVote(17)	avgVote(18)	minVote(19)	maxVote(20)	stdVote(21)	totUser(22)	avgUser(23)	minUser(24)	maxUser(25)	stdUser(26)	totAggrProposal(27)	totAggrVote(28)	totAggrUser(29)
374400	66.6	88.8	8888.8	8314.711044889053	8955.4	8391.957997988313	70.2	8.726969691708572	44.0	7.92464510246358	351	70.2	61	86	8.726969691708572	0	0.0	0	0	0.0	220	44.0	34	57	7.92464510246358	4	0	3
378000	44.4	54.37867228978655	4444.4	5443.2561064127785	4488.8	5497.634778702564	70.6	8.380930735902785	44.4	7.552483035399682	353	70.6	62	86	8.380930735902785	0	0.0	0	0	0.0	222	44.4	35	57	7.552483035399682	2	0	2
381600	22.2	44.4	4444.4	5443.2561064127785	4466.6	5470.5580556283285	71.0	8.62554346113913	44.6	7.889233169326409	355	71.0	62	87	8.62554346113913	0	0.0	0	0	0.0	223	44.6	35	58	7.889233169326409	2	0	1
385200	0.0	0.0	2222.2	4444.4	2222.2	4444.4	71.2	8.565045242145542	44.6	7.889233169326409	356	71.2	62	87	8.565045242145542	0	0.0	0	0	0.0	223	44.6	35	58	7.889233169326409	1	0	0
388800	44.4	54.37867228978655	4444.4	5443.2561064127785	4488.8	5497.634778702565	71.6	8.73155198117723	45.0	8.12403840463596	358	71.6	63	88	8.73155198117723	0	0.0	0	0	0.0	225	45.0	35	59	8.12403840463596	2	0	2
392400	44.4	54.37867228978655	6666.6	8888.800000000001	6711.0	8938.775844599752	72.2	9.495261976375375	45.4	8.5463442476886	361	72.2	63	90	9.495261976375375	0	0.0	0	0	0.0	227	45.4	35	60	8.5463442476886	3	0	2
396000	111.0	171.9604605716093	17777.6	15071.693688500969	17888.6	15219.246914351575	73.8	9.453041838477178	46.4	8.357032966310472	369	73.8	67	92	9.453041838477178	0	0.0	0	0	0.0	232	46.4	35	60	8.357032966310472	8	0	5
399600	22.2	44.4	2222.2	4444.4	2244.4	4488.8	74.0	9.465727652959385	46.6	8.452218643646177	370	74.0	67	92	9.465727652959385	0	0.0	0	0	0.0	233	46.6	35	60	8.452218643646177	1	0	1
403200	66.6	88.8	11111.0	9937.980519200066	11177.6	9987.892622570589	75.0	9.85900603509299	47.2	8.997777503361593	375	75.0	67	94	9.85900603509299	0	0.0	0	0	0.0	236	47.2	35	62	8.997777503361593	5	0	3
406800	44.4	88.8	8888.8	12957.541300725226	8933.2	13041.33455440815	75.8	9.325234581499814	47.6	8.935323161475472	379	75.8	69	94	9.325234581499814	0	0.0	0	0	0.0	238	47.6	35	62	8.935323161475472	4	0	2
410400	88.8	83.06479398638149	8888.8	8314.711044889054	8977.6	8397.775838875434	76.6	9.329523031752482	48.4	8.708616422830897	383	76.6	71	95	9.329523031752482	0	0.0	0	0	0.0	242	48.4	37	63	8.708616422830897	4	0	4
414000	44.4	88.8	6666.6	13333.199999999999	6711.0	13422.0	77.2	9.042123644365853	48.8	8.207313811473275	386	77.2	71	95	9.042123644365853	0	0.0	0	0	0.0	244	48.8	39	63	8.207313811473275	3	0	2
417600	44.4	54.37867228978655	4444.4	5443.2561064127785	4488.8	5497.634778702564	77.6	9.393614852653903	49.2	8.611620056644394	388	77.6	71	96	9.393614852653903	0	0.0	0	0	0.0	246	49.2	39	64	8.611620056644394	2	0	2
421200	66.6	54.37867228978655	13333.2	12957.541300725226	13399.8	13003.261966137574	78.8	9.987992791347018	49.8	8.997777503361593	394	78.8	71	98	9.987992791347018	0	0.0	0	0	0.0	249	49.8	39	65	8.997777503361593	6	0	3
424800	44.4	88.8	11111.0	14054.426832852345	11155.4	14124.734073248954	79.8	10.533755265810953	50.2	8.541662601625049	399	79.8	71	100	10.533755265810953	0	0.0	0	0	0.0	251	50.2	41	65	8.541662601625049	5	0	2
428400	22.2	44.4	6666.6	13333.2	6688.8	13377.600000000002	80.4	10.091580649234292	50.4	8.380930735902785	402	80.4	72	100	10.091580649234292	0	0.0	0	0	0.0	252	50.4	41	65	8.380930735902785	3	0	1
432000	44.4	54.37867228978655	6666.6	5443.2561064127785	6711.0	5479.658456509858	81.0	10.295630140987	50.8	8.423775875461075	405	81.0	73	101	10.295630140987	0	0.0	0	0	0.0	254	50.8	41	65	8.423775875461075	3	0	2
435600	0.0	0.0	0.0	0.0	0.0	0.0	81.0	10.295630140987	50.8	8.423775875461075	405	81.0	73	101	10.295630140987	0	0.0	0	0	0.0	254	50.8	41	65	8.423775875461075	0	0	0
439200	0.0	0.0	6666.6	8888.8	6666.6	8888.8	81.6	9.93176721434811	50.8	8.423775875461075	408	81.6	74	101	9.93176721434811	0	0.0	0	0	0.0	254	50.8	41	65	8.423775875461075	3	0	0
442800	22.2	44.4	8888.8	4444.4	8911.0	4455.707396138126	82.4	10.011992808627062	51.0	8.270429251254134	412	82.4	75	102	10.011992808627062	0	0.0	0	0	0.0	255	51.0	41	65	8.270429251254134	4	0	1
446400	66.6	54.37867228978655	6666.6	5443.2561064127785	6733.2	5497.634778702564	83.0	9.715966241192895	51.6	8.187795796183488	415	83.0	76	102	9.715966241192895	0	0.0	0	0	0.0	258	51.6	41	65	8.187795796183488	3	0	3
450000	0.0	0.0	2222.2	4444.4	2222.2	4444.4	83.2	9.703607576566563	51.6	8.187795796183488	416	83.2	76	102	9.703607576566563	0	0.0	0	0	0.0	258	51.6	41	65	8.187795796183488	1	0	0
