time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasTotalMean(6)	gasTotalStd(7)	createProposalMean(8)	createProposalStd(9)	createUserMean(10)	createUserStd(11)	totProposal(12)	avgProposal(13)	minProposal(14)	maxProposal(15)	stdProposal(16)	totVote(17)	avgVote(18)	minVote(19)	maxVote(20)	stdVote(21)	totUser(22)	avgUser(23)	minUser(24)	maxUser(25)	stdUser(26)	totAggrProposal(27)	totAggrVote(28)	totAggrUser(29)
478800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
482400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
486000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
489600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
493200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
496800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
500400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
504000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
507600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
511200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
514800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
518400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
522000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
525600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
529200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
532800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
536400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
540000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
