time	gasTotalMean	gasTotalStd	gasNewCreatorMean	gasNewCreatorStd	gasNewAssetMean	gasNewAssetStd	gasHolderPolicyUpdateMean	gasHolderPolicyUpdateStd	gasCharacteristicUpdateMean	gasCharacteristicUpdateStd	gasTransferMean	gasTransferStd	TotalNumCreators	maxCreators	minCreators	avgCreators	stdCreators	TotalNumAssets	maxAssets	minAssets	avgAssets	stdAssets
5340	8.430973E7	1.729697239118042E8	0.0	0.0	1231076.4	3693229.1999999997	5.6872755E7	1.1630788606365263E8	1.25614126E7	2.5688773921350047E7	1.3644486E7	2.7903718099907473E7	6	2	0	0.6	0.6633249580710799	491	177	0	49.1	63.528654951919144
5400	1.114319496E8	2.3164510698035613E8	0.0	0.0	820717.6	2142135.825314361	7.57206E7	1.5803556630681786E8	1.6724312E7	3.490511324543004E7	1.816632E7	3.791471104178878E7	6	2	0	0.6	0.6633249580710799	499	184	0	49.9	64.88058261144084
5460	9.22801634E7	1.7805654047118735E8	0.0	0.0	1025897.0	2247627.71430751	6.2469495E7	1.2119055614518906E8	1.37975574E7	2.676720301246503E7	1.4987214E7	2.9075131785953507E7	6	2	0	0.6	0.6633249580710799	509	191	0	50.9	66.12631851237448
5520	6.90013456E7	1.4050368996522295E8	0.0	0.0	410358.8	940250.1315456224	4.69550025E7	9.598337853896531E7	1.03708913E7	2.1199725959643215E7	1.1265093E7	2.302761427167741E7	6	2	0	0.6	0.6633249580710799	513	194	0	51.3	66.69490235392806
5580	6.06381933E7	1.1755034036390695E8	0.0	0.0	102589.7	307769.1	4.14405675E7	8.050675470783651E7	9152925.1	1.7781423864065085E7	9942111.0	1.9314578439474393E7	6	2	0	0.6	0.6633249580710799	514	194	0	51.4	66.62612100370244
5640	9.90483008E7	1.8823783070519543E8	0.0	0.0	820717.6	2142135.825314361	6.7243185E7	1.2897920935930778E8	1.48519162E7	2.8487472878429163E7	1.6132482E7	3.0943727209876575E7	6	2	0	0.6	0.6633249580710799	522	195	0	52.2	66.39548177398821
5700	6.65366388E7	1.4084554630138892E8	0.0	0.0	410358.8	1231076.4	4.526775E7	9.65460804581671E7	9998230.0	2.1324009212281592E7	1.08603E7	2.3162613507404987E7	6	2	0	0.6	0.6633249580710799	526	195	0	52.6	66.16978162273169
5760	1.017639116E8	1.6447419448849687E8	0.0	0.0	410358.8	1231076.4	6.9383115E7	1.1276313662059468E8	1.53245598E7	2.49058496491239E7	1.6645878E7	2.7053288326471813E7	6	2	0	0.6	0.6633249580710799	530	195	0	53.0	65.96514231016256
5820	5.99662098E7	1.0816754188688052E8	52643.8	157931.40000000002	820717.6	2462152.8	4.04529075E7	7.43547328537448E7	8934781.9	1.6422634671709921E7	9705159.0	1.7838631370269664E7	7	2	0	0.7	0.6403124237432849	538	195	0	53.8	65.61981408080946
5880	6.79689492E7	1.0897171518295713E8	0.0	0.0	820717.6	2462152.8	4.59673425E7	7.492468990490222E7	1.01527481E7	1.6548520356056806E7	1.1028141E7	1.7975371202991303E7	7	2	0	0.7	0.6403124237432849	546	195	0	54.6	65.36084454778718
5940	7.83263347E7	1.3860664792641574E8	0.0	0.0	718127.9	2154383.6999999993	5.31278775E7	9.514871829938413E7	1.17342863E7	2.101537562088797E7	1.2746043E7	2.2827368829835843E7	7	2	0	0.7	0.6403124237432849	553	195	0	55.3	65.2059046406075
6000	6.87680815E7	1.1885160780264255E8	0.0	0.0	718127.9	2154383.6999999993	4.658463E7	8.162934216890532E7	1.02890876E7	1.802936831968486E7	1.1176236E7	1.958390122674448E7	7	2	0	0.7	0.6403124237432849	560	195	0	56.0	65.11835378754594
6060	6.8597906E7	1.3639427414196652E8	52643.8	157931.40000000002	615538.2	1846614.5999999996	4.6502325E7	9.358986923586066E7	1.0270909E7	2.0671074623546768E7	1.115649E7	2.2453381421922177E7	8	2	0	0.8	0.6	566	195	0	56.6	65.09715815609772
6120	4.10198789E7	8.972816306993677E7	0.0	0.0	923307.3	2769921.900000001	2.74487175E7	6.167743894174256E7	6062563.1	1.3622616992240584E7	6585291.0	1.479718983468378E7	8	2	0	0.8	0.6	575	195	0	57.5	65.15865253364284
6180	5.5404956E7	1.1504252329984976E8	0.0	0.0	820717.6	2462152.8	3.736647E7	7.900225396807264E7	8253084.4	1.7449126711427074E7	8964684.0	1.8953629874899004E7	8	2	0	0.8	0.6	583	195	0	58.3	65.30704403048725
6240	6.49632092E7	1.2226830248834279E8	0.0	0.0	820717.6	2462152.8	4.39097175E7	8.397793561346862E7	9698283.1	1.8548099147597358E7	1.0534491E7	2.01473581996665E7	8	2	0	0.8	0.6	591	195	0	59.1	65.54303929480231
6300	4.20450802E7	9.755166605174874E7	0.0	0.0	205179.4	615538.2	2.864214E7	6.683936297972476E7	6326152.8	1.476272454727203E7	6871608.0	1.6035600041281149E7	8	2	0	0.8	0.6	593	195	0	59.3	65.61562313961515
6360	3.14295956E7	6.879346835369964E7	0.0	0.0	410358.8	1231076.4	2.123469E7	4.7212590110999785E7	4690078.8	1.0427784345930632E7	5094468.0	1.1326891493005307E7	8	2	0	0.8	0.6	597	195	0	59.7	65.77697165421954
6420	5.19712173E7	1.2857586230782913E8	0.0	0.0	512948.5	1538845.5	3.522654E7	8.815268946649699E7	7780440.8	1.9470171687451094E7	8451288.0	2.1148933919026177E7	8	2	0	0.8	0.6	602	195	0	60.2	66.00878729381415
6480	6.03800942E7	1.3828391260558015E8	0.0	0.0	205179.4	615538.2	4.11936525E7	9.472451842130582E7	9098389.3	2.09216831367906E7	9882873.0	2.2725597967889007E7	8	2	0	0.8	0.6	604	195	0	60.4	66.11081605909882
6540	4.87955777E7	1.2500036212383486E8	0.0	0.0	102589.7	307769.1	3.3333525E7	8.559799139057235E7	7362333.0	1.890591879342274E7	7997130.0	2.053602986450692E7	8	2	0	0.8	0.6	605	195	0	60.5	66.16381186116773
6600	2.96365964E7	6.06701303772471E7	0.0	0.0	0.0	0.0	2.02881825E7	4.153265984998139E7	4481024.9	9173265.419462629	4867389.0	9964205.10780308	8	2	0	0.8	0.6	605	195	0	60.5	66.16381186116773
6660	1.80945548E7	4.0477799620233394E7	0.0	0.0	0.0	0.0	1.23869025E7	2.770969293537789E7	2735879.3	6120204.410364625	2971773.0	6647902.274490879	8	2	0	0.8	0.6	605	195	0	60.5	66.16381186116773
6720	3.07186628E7	6.827540891074829E7	0.0	0.0	0.0	0.0	2.10289275E7	4.673896885957484E7	4644632.3	1.0323176226361305E7	5045103.0	1.1213263824812159E7	8	2	0	0.8	0.6	605	195	0	60.5	66.16381186116773
6780	3.2762566E7	6.841964846219781E7	0.0	0.0	0.0	0.0	2.24281125E7	4.683771023675695E7	4953668.5	1.0344985107951034E7	5380785.0	1.1236953117489856E7	8	2	0	0.8	0.6	605	195	0	60.5	66.16381186116773
6840	1.35784738E7	2.760427023622799E7	52643.8	157931.40000000002	0.0	0.0	9259312.5	1.891426383689122E7	2045092.5	4177569.243488377	2221425.0	4537768.710567452	9	2	0	0.9	0.5385164807134504	605	195	0	60.5	66.16381186116773
6900	3.83356025E7	8.19552249898663E7	0.0	0.0	102589.7	307769.1	2.617299E7	5.613605269532918E7	5780794.8	1.2398698104942726E7	6279228.0	1.346774189322605E7	9	2	0	0.9	0.5385164807134504	606	195	0	60.6	66.218124407144
6960	3.65423274E7	6.788941237217699E7	52643.8	157931.40000000002	0.0	0.0	2.49795675E7	4.6434920796591826E7	5517205.1	1.0256021519870289E7	5992911.0	1.1140318887667848E7	10	2	0	1.0	0.6324555320336759	606	195	0	60.6	66.218124407144
7020	4.51462148E7	1.1429701715507992E8	0.0	0.0	0.0	0.0	3.09055275E7	7.82437602466352E7	6826064.3	1.7281599174041465E7	7414623.0	1.877165773440324E7	10	2	0	1.0	0.6324555320336759	606	195	0	60.6	66.218124407144
7080	6.46835248E7	1.4665256500903153E8	0.0	0.0	0.0	0.0	4.428009E7	1.0039324228865717E8	9780086.8	2.217372692143349E7	1.0623348E7	2.4085595798940826E7	10	2	0	1.0	0.6324555320336759	606	195	0	60.6	66.218124407144
