time	gasInitializeMean(2)	gasInitializeStd(3)	gasMintMean(4)	gasMintStd(5)	gasTotalMean(6)	gasTotalStd(7)	mintMean(8)	mintStd(9)	initializeMean(10)	initializeStd(11)	totPool(12)	avgPool(13)	minPool(14)	maxPool(15)	stdPool(16)
5400	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	5460.0	0.0	0	0.0	0	0	0.0
5460	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	5520.0	0.0	0	0.0	0	0	0.0
5520	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	5580.0	0.0	0	0.0	0	0	0.0
5580	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	5640.0	0.0	0	0.0	0	0	0.0
5640	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	5700.0	0.0	0	0.0	0	0	0.0
5700	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	5760.0	0.0	0	0.0	0	0	0.0
5760	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	5820.0	0.0	0	0.0	0	0	0.0
5820	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	5880.0	0.0	0	0.0	0	0	0.0
5880	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	5940.0	0.0	0	0.0	0	0	0.0
5940	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	6000.0	0.0	0	0.0	0	0	0.0
6000	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	6060.0	0.0	0	0.0	0	0	0.0
6060	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	6120.0	0.0	0	0.0	0	0	0.0
6120	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	6180.0	0.0	0	0.0	0	0	0.0
6180	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	6240.0	0.0	0	0.0	0	0	0.0
6240	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	6300.0	0.0	0	0.0	0	0	0.0
6300	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	6360.0	0.0	0	0.0	0	0	0.0
6360	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	6420.0	0.0	0	0.0	0	0	0.0
