time	gasDsefwffdsMean(2)	gasDsefwffdsStd(3)	gasTotalMean(4)	gasTotalStd(5)	dsefwffdsMean(6)	dsefwffdsStd(7)	totKitty(8)	avgKitty(9)	minKitty(10)	maxKitty(11)	stdKitty(12)
101220	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
101280	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
101340	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
101400	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
101460	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
101520	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
101580	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
101640	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
101700	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
101760	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
101820	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
101880	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
101940	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
102000	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
102060	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
102120	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
102180	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
102240	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
102300	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
102360	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
102420	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
102480	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
102540	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
102600	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
102660	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
102720	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
102780	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
102840	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
102900	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
102960	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
103020	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
103080	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
103140	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
103200	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
103260	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
103320	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
103380	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
103440	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
103500	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
103560	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
103620	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
103680	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
103740	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
103800	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
103860	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
103920	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
103980	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
104040	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
104100	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
104160	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
104220	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
104280	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
104340	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
104400	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
104460	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
104520	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
104580	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
104640	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
104700	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
104760	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
104820	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
104880	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
104940	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
105000	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
105060	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
105120	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
105180	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
105240	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
105300	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
105360	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
105420	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
105480	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
105540	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
105600	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
105660	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
105720	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
105780	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
105840	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
